x,T,u,Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_AR,Y_N2
3.90849609e-02,3.69667643e+02,2.72083014e+00,2.52798520e-02,1.15858075e-06,4.66317305e-06,2.20830376e-01,6.05488362e-05,2.23550209e-03,4.48713803e-04,7.77485887e-05,-1.85618248e-76,7.51061437e-01
3.90864258e-02,3.65832344e+02,2.69448140e+00,2.53594481e-02,9.61653574e-07,4.20306244e-06,2.20964369e-01,5.34416174e-05,2.06053166e-03,4.21370940e-04,7.29576284e-05,-1.85082456e-76,7.51062716e-01
3.90878906e-02,3.62187312e+02,2.66946740e+00,2.54372384e-02,7.95796354e-07,3.79199490e-06,2.21087900e-01,4.71494056e-05,1.89806162e-03,3.94539852e-04,6.83256252e-05,-1.84511572e-76,7.51062197e-01
3.90893555e-02,3.58727343e+02,2.64575197e+00,2.55132127e-02,6.56611965e-07,3.42498686e-06,2.21201444e-01,4.15929124e-05,1.74745610e-03,3.68410409e-04,6.38664341e-05,-1.83872893e-76,7.51059935e-01
3.90908203e-02,3.55446850e+02,2.62329614e+00,2.55873648e-02,5.40216017e-07,3.09745494e-06,2.21305490e-01,3.66969499e-05,1.60807808e-03,3.43144742e-04,5.95915676e-05,-1.83203283e-76,7.51055996e-01
3.90922852e-02,3.52339940e+02,2.60205862e+00,2.56596915e-02,4.43197343e-07,2.80521104e-06,2.21400533e-01,3.23911478e-05,1.47929428e-03,3.18876654e-04,5.55101173e-05,-1.82508419e-76,7.51050455e-01
3.90937500e-02,3.49400478e+02,2.58199634e+00,2.57301933e-02,3.62577184e-07,2.54445065e-06,2.21487074e-01,2.86103961e-05,1.36047961e-03,2.95712003e-04,5.16287405e-05,-1.81790557e-76,7.51043395e-01
3.90966797e-02,3.43992266e+02,2.54517246e+00,2.58657538e-02,2.42532722e-07,2.10471337e-06,2.21637203e-01,2.24049580e-05,1.14989378e-03,2.52786990e-04,4.44540058e-05,-1.69530549e-76,7.51025156e-01
3.90996094e-02,3.39160326e+02,2.51238498e+00,2.59942077e-02,1.61019779e-07,1.75102484e-06,2.21760521e-01,1.76043263e-05,9.70786676e-04,2.14681685e-04,3.80707649e-05,-1.56081065e-76,7.51002216e-01
3.91025391e-02,3.34856069e+02,2.48329121e+00,2.61156719e-02,1.06246213e-07,1.46547698e-06,2.21860497e-01,1.38911546e-05,8.19154268e-04,1.81417871e-04,3.24641708e-05,-1.42341700e-76,7.50975331e-01
